2025-06-15 20:07:01,698 INFO    MainThread:3945249 [wandb_setup.py:_flush():68] Current SDK version is 0.19.10
2025-06-15 20:07:01,699 INFO    MainThread:3945249 [wandb_setup.py:_flush():68] Configure stats pid to 3945249
2025-06-15 20:07:01,699 INFO    MainThread:3945249 [wandb_setup.py:_flush():68] Loading settings from /home/cboned/.config/wandb/settings
2025-06-15 20:07:01,699 INFO    MainThread:3945249 [wandb_setup.py:_flush():68] Loading settings from /home/cboned/Projects/OCR-Koopman/wandb/settings
2025-06-15 20:07:01,699 INFO    MainThread:3945249 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-06-15 20:07:01,699 INFO    MainThread:3945249 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /home/cboned/Projects/OCR-Koopman/wandb/run-20250615_200701-stdg6k8s/logs/debug.log
2025-06-15 20:07:01,699 INFO    MainThread:3945249 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /home/cboned/Projects/OCR-Koopman/wandb/run-20250615_200701-stdg6k8s/logs/debug-internal.log
2025-06-15 20:07:01,699 INFO    MainThread:3945249 [wandb_init.py:init():852] calling init triggers
2025-06-15 20:07:01,699 INFO    MainThread:3945249 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'epochs': 150, 'num_accumulation_steps': -1, 'log_every': 10, 'sample_number_pca': 2000, 'explain_pca': False, 'full_grid': True, '_wandb': {'code_path': 'code/main_lkis.py'}}
2025-06-15 20:07:01,699 INFO    MainThread:3945249 [wandb_init.py:init():893] starting backend
2025-06-15 20:07:01,699 INFO    MainThread:3945249 [wandb_init.py:init():897] sending inform_init request
2025-06-15 20:07:01,703 INFO    MainThread:3945249 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-06-15 20:07:01,704 INFO    MainThread:3945249 [wandb_init.py:init():907] backend started and connected
2025-06-15 20:07:01,706 INFO    MainThread:3945249 [wandb_init.py:init():1002] updated telemetry
2025-06-15 20:07:01,708 INFO    MainThread:3945249 [wandb_init.py:init():1026] communicating run to backend with 90.0 second timeout
2025-06-15 20:07:02,334 INFO    MainThread:3945249 [wandb_init.py:init():1101] starting run threads in backend
2025-06-15 20:07:02,445 INFO    MainThread:3945249 [wandb_run.py:_console_start():2566] atexit reg
2025-06-15 20:07:02,446 INFO    MainThread:3945249 [wandb_run.py:_redirect():2414] redirect: wrap_raw
2025-06-15 20:07:02,446 INFO    MainThread:3945249 [wandb_run.py:_redirect():2483] Wrapping output streams.
2025-06-15 20:07:02,446 INFO    MainThread:3945249 [wandb_run.py:_redirect():2506] Redirects installed.
2025-06-15 20:07:02,447 INFO    MainThread:3945249 [wandb_init.py:init():1147] run started, returning control to user process
2025-06-15 20:07:20,612 INFO    MsgRouterThr:3945249 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
